,task,session,count,speaker,tama_mean,entrainment,best_lag,hitid,session,task,believes_is_better_than_partner_A_yes,believes_is_better_than_partner_A_no,believes_is_better_than_partner_B_yes,believes_is_better_than_partner_B_no,bored_with_game_A_yes,bored_with_game_A_no,bored_with_game_B_yes,bored_with_game_B_no,difficult_for_partner_to_speak_A_yes,difficult_for_partner_to_speak_A_no,difficult_for_partner_to_speak_B_yes,difficult_for_partner_to_speak_B_no,directs_the_conversation_A_yes,directs_the_conversation_A_no,directs_the_conversation_B_yes,directs_the_conversation_B_no,contributes_to_successful_completion_A_yes,contributes_to_successful_completion_A_no,contributes_to_successful_completion_B_yes,contributes_to_successful_completion_B_no,frustrated_with_partner_A_yes,frustrated_with_partner_A_no,frustrated_with_partner_B_yes,frustrated_with_partner_B_no,frustrated_with_game_A_yes,frustrated_with_game_A_no,frustrated_with_game_B_yes,frustrated_with_game_B_no,engaged_in_game_A_yes,engaged_in_game_A_no,engaged_in_game_B_yes,engaged_in_game_B_no,gives_encouragement_A_yes,gives_encouragement_A_no,gives_encouragement_B_yes,gives_encouragement_B_no,making_self_clear_A_yes,making_self_clear_A_no,making_self_clear_B_yes,making_self_clear_B_no,planning_what_to_say_A_yes,planning_what_to_say_A_no,planning_what_to_say_B_yes,planning_what_to_say_B_no,polite_A_yes,polite_A_no,polite_B_yes,polite_B_no,dislikes_partner_A_yes,dislikes_partner_A_no,dislikes_partner_B_yes,dislikes_partner_B_no,trying_to_be_liked_A_yes,trying_to_be_liked_A_no,trying_to_be_liked_B_yes,trying_to_be_liked_B_no,trying_to_dominate_A_yes,trying_to_dominate_A_no,trying_to_dominate_B_yes,trying_to_dominate_B_no,conversation_awkward_yes,conversation_awkward_no,flow_naturally_yes,flow_naturally_no,hard_time_understanding_each_other_yes,hard_time_understanding_each_other_no,like_more_A,like_more_B,rather_have_as_a_partner_A,rather_have_as_a_partner_B,directing_the_conversation_A,directing_the_conversation_B,dominates_the_conversation_A,dominates_the_conversation_B,likes_the_other_person_more_A,likes_the_other_person_more_B,acting_superior_A,acting_superior_B,more_polite_A,more_polite_B,more_frustrated_A,more_frustrated_B
20,13.0,2.0,15.0,0.0,215.40684426967997,0.382680938560506,3.0,g2t13,2.0,13.0,0.0,5.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,4.0,0.0,5.0,5.0,0.0,1.0,4.0,4.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0,3.0,2.0,4.0,1.0,1.0,4.0,5.0,0.0,4.0,1.0,3.0,2.0,0.0,5.0,4.0,1.0,3.0,2.0,1.0,4.0,4.0,1.0,1.0,4.0,0.0,5.0,3.0,2.0,0.0,5.0,2.0,3.0,3.0,2.0,2.0,3.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,3.0,2.0,0.0,5.0,2.0,3.0
22,14.0,2.0,9.0,0.0,209.1332031383799,-0.7130408724290618,5.0,g2t14,2.0,14.0,0.0,5.0,1.0,4.0,1.0,4.0,4.0,1.0,0.0,5.0,0.0,5.0,4.0,1.0,0.0,5.0,5.0,0.0,5.0,0.0,1.0,4.0,1.0,4.0,5.0,0.0,0.0,5.0,5.0,0.0,2.0,3.0,1.0,4.0,2.0,3.0,4.0,1.0,5.0,0.0,0.0,5.0,4.0,1.0,5.0,0.0,5.0,0.0,0.0,5.0,2.0,3.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,1.0,4.0,5.0,0.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,4.0,2.0,3.0,5.0,0.0
24,1.0,3.0,16.0,0.0,186.01068858201864,0.3453326081591555,0.0,g3t1,3.0,1.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,2.0,3.0,0.0,5.0,4.0,1.0,0.0,5.0,4.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,4.0,0.0,5.0,5.0,0.0,5.0,0.0,3.0,2.0,4.0,1.0,3.0,2.0,5.0,0.0,4.0,1.0,5.0,0.0,4.0,1.0,5.0,0.0,0.0,5.0,0.0,5.0,2.0,3.0,2.0,3.0,1.0,4.0,0.0,5.0,1.0,4.0,4.0,1.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,5.0,0.0,3.0,2.0,4.0,1.0,2.0,3.0,2.0,3.0
26,4.0,3.0,11.0,0.0,191.07019552016445,-0.4962375792189423,1.0,g3t4,3.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,4.0,1.0,1.0,4.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,1.0,4.0,1.0,4.0,3.0,2.0,1.0,4.0,5.0,0.0,5.0,0.0,4.0,1.0,5.0,0.0,3.0,2.0,5.0,0.0,3.0,2.0,2.0,3.0,2.0,3.0,5.0,0.0,0.0,5.0,1.0,4.0,0.0,5.0,0.0,5.0,4.0,1.0,0.0,5.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,0.0,5.0,5.0,0.0,5.0,0.0,4.0,1.0,5.0,0.0,5.0,0.0,3.0,2.0
28,8.0,3.0,7.0,0.0,212.17955685869188,-0.25188766630153964,0.0,g3t8,3.0,8.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,1.0,4.0,2.0,3.0,4.0,1.0,4.0,1.0,5.0,0.0,1.0,4.0,4.0,1.0,1.0,4.0,3.0,2.0,4.0,1.0,4.0,1.0,4.0,1.0,2.0,3.0,4.0,1.0,4.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,5.0,0.0,1.0,4.0,1.0,4.0,3.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0,4.0,1.0,4.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,4.0,2.0,3.0,1.0,4.0
30,10.0,3.0,12.0,0.0,206.02554051333686,0.2636877409629729,1.0,g3t10,3.0,10.0,0.0,5.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,4.0,1.0,5.0,0.0,5.0,0.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,3.0,2.0,3.0,2.0,5.0,0.0,4.0,1.0,3.0,2.0,2.0,3.0,4.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,4.0,0.0,5.0,0.0,5.0,2.0,3.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,3.0,2.0,0.0,5.0,1.0,4.0,2.0,3.0,1.0,4.0,1.0,4.0,3.0,2.0
32,12.0,3.0,10.0,0.0,188.11508368993356,-0.42730673914666123,3.0,g3t12,3.0,12.0,1.0,4.0,1.0,4.0,1.0,4.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,5.0,0.0,3.0,2.0,3.0,2.0,4.0,1.0,5.0,0.0,3.0,2.0,4.0,1.0,5.0,0.0,4.0,1.0,0.0,5.0,1.0,4.0,2.0,3.0,2.0,3.0,0.0,5.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,3.0,2.0,2.0,3.0,5.0,0.0,4.0,1.0
34,13.0,3.0,13.0,0.0,192.69740094209402,-0.4942991812093626,6.0,g3t13,3.0,13.0,2.0,3.0,0.0,5.0,0.0,5.0,2.0,3.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,4.0,1.0,4.0,1.0,2.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,5.0,0.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0,0.0,5.0,0.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0,0.0,2.0,3.0,1.0,4.0,3.0,2.0,1.0,4.0,1.0,4.0,0.0,5.0,4.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,2.0,5.0,0.0,5.0,0.0,2.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0
36,3.0,4.0,10.0,0.0,87.94244363174558,-0.2867883993886395,0.0,g4t3,4.0,3.0,0.0,5.0,2.0,3.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,4.0,1.0,1.0,4.0,5.0,0.0,5.0,0.0,1.0,4.0,0.0,5.0,1.0,4.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,1.0,5.0,0.0,5.0,0.0,1.0,4.0,0.0,5.0,3.0,2.0,4.0,1.0,1.0,4.0,0.0,5.0,0.0,5.0,5.0,0.0,1.0,4.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0,5.0,0.0
38,4.0,4.0,9.0,0.0,89.12702561336467,0.6590541834768648,0.0,g4t4,4.0,4.0,0.0,5.0,0.0,5.0,2.0,3.0,0.0,5.0,1.0,4.0,0.0,5.0,4.0,1.0,1.0,4.0,5.0,0.0,5.0,0.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,3.0,2.0,5.0,0.0,2.0,3.0,3.0,2.0,3.0,2.0,5.0,0.0,3.0,2.0,3.0,2.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,2.0,3.0,3.0,2.0,2.0,3.0,0.0,5.0,3.0,2.0,3.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,3.0,2.0,4.0,1.0
40,5.0,4.0,6.0,0.0,88.9274929204449,0.2196622573769341,2.0,g4t5,4.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,4.0,1.0,0.0,5.0,4.0,1.0,4.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,0.0,5.0,2.0,3.0,4.0,1.0,5.0,0.0,3.0,2.0,3.0,2.0,4.0,1.0,4.0,1.0,1.0,4.0,0.0,5.0,5.0,0.0,3.0,2.0,0.0,5.0,0.0,5.0,1.0,4.0,1.0,4.0,0.0,5.0,5.0,0.0,2.0,3.0,3.0,2.0,0.0,5.0,2.0,3.0,1.0,4.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,2.0,3.0,1.0,4.0
42,7.0,4.0,10.0,0.0,90.59171337927349,0.33101621930066083,0.0,g4t7,4.0,7.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,3.0,2.0,3.0,2.0,5.0,0.0,5.0,0.0,4.0,1.0,3.0,2.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,1.0,4.0,2.0,3.0,0.0,5.0,1.0,4.0,2.0,3.0,4.0,1.0,2.0,3.0,1.0,4.0,2.0,3.0,0.0,5.0,0.0,5.0,1.0,4.0,1.0,4.0,4.0,1.0,5.0,0.0
44,8.0,4.0,19.0,0.0,90.55211114400845,0.1793813086082194,5.0,g4t8,4.0,8.0,0.0,5.0,4.0,1.0,0.0,5.0,1.0,4.0,0.0,5.0,4.0,1.0,0.0,5.0,5.0,0.0,3.0,2.0,5.0,0.0,2.0,3.0,1.0,4.0,4.0,1.0,0.0,5.0,3.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,5.0,0.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0,4.0,0.0,5.0,5.0,0.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,2.0,0.0,5.0,0.0,5.0,2.0,3.0,0.0,5.0,1.0,4.0,3.0,2.0
46,9.0,4.0,9.0,0.0,96.04647923442474,-0.2068549681701756,3.0,g4t9,4.0,9.0,1.0,4.0,0.0,5.0,1.0,4.0,1.0,4.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,5.0,1.0,4.0,0.0,5.0,2.0,3.0,5.0,0.0,5.0,0.0,4.0,1.0,4.0,1.0,4.0,1.0,5.0,0.0,4.0,1.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,4.0,1.0,2.0,3.0,1.0,4.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,4.0,1.0,3.0,2.0,5.0,0.0,5.0,0.0,3.0,2.0,2.0,3.0,0.0,5.0,1.0,4.0
48,10.0,4.0,25.0,0.0,91.92145490764334,-0.2673488009044517,0.0,g4t10,4.0,10.0,0.0,5.0,2.0,3.0,0.0,5.0,2.0,3.0,1.0,4.0,0.0,5.0,2.0,3.0,3.0,2.0,5.0,0.0,5.0,0.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,5.0,5.0,0.0,2.0,3.0,4.0,1.0,4.0,1.0,5.0,0.0,5.0,0.0,3.0,2.0,3.0,2.0,5.0,0.0,4.0,1.0,0.0,5.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,4.0,1.0,0.0,5.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,4.0,3.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0
50,11.0,4.0,12.0,0.0,92.21631397138027,0.7852310083430002,0.0,g4t11,4.0,11.0,1.0,4.0,4.0,1.0,0.0,5.0,0.0,5.0,1.0,4.0,1.0,4.0,5.0,0.0,0.0,5.0,4.0,1.0,5.0,0.0,1.0,4.0,2.0,3.0,2.0,3.0,1.0,4.0,5.0,0.0,5.0,0.0,4.0,1.0,3.0,2.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,5.0,0.0,4.0,1.0,1.0,4.0,2.0,3.0,0.0,5.0,0.0,5.0,2.0,3.0,0.0,5.0,0.0,5.0,4.0,1.0,2.0,3.0,2.0,3.0,1.0,4.0,5.0,0.0,5.0,0.0,4.0,1.0,1.0,4.0,3.0,2.0,2.0,3.0
52,12.0,4.0,10.0,0.0,89.52605495738808,-0.31847748716784685,6.0,g4t12,4.0,12.0,1.0,4.0,0.0,5.0,2.0,3.0,1.0,4.0,1.0,4.0,2.0,3.0,1.0,4.0,5.0,0.0,3.0,2.0,5.0,0.0,3.0,2.0,0.0,5.0,2.0,3.0,0.0,5.0,3.0,2.0,3.0,2.0,4.0,1.0,4.0,1.0,4.0,1.0,5.0,0.0,2.0,3.0,4.0,1.0,4.0,1.0,2.0,3.0,1.0,4.0,0.0,5.0,2.0,3.0,2.0,3.0,1.0,4.0,3.0,2.0,1.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,0.0,5.0,0.0,5.0,0.0,5.0,2.0,3.0,1.0,4.0,1.0,4.0,3.0,2.0
54,13.0,4.0,16.0,0.0,91.06272198851927,0.28074872488145663,2.0,g4t13,4.0,13.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,4.0,1.0,1.0,4.0,5.0,0.0,5.0,0.0,1.0,4.0,0.0,5.0,2.0,3.0,0.0,5.0,5.0,0.0,5.0,0.0,3.0,2.0,3.0,2.0,5.0,0.0,5.0,0.0,4.0,1.0,3.0,2.0,5.0,0.0,5.0,0.0,1.0,4.0,0.0,5.0,1.0,4.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,5.0,0.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0
56,3.0,5.0,9.0,0.0,152.95056141634035,-0.5993113091021556,3.0,g5t3,5.0,3.0,1.0,4.0,2.0,3.0,2.0,3.0,0.0,5.0,0.0,5.0,0.0,5.0,2.0,3.0,2.0,3.0,3.0,2.0,5.0,0.0,0.0,5.0,0.0,5.0,2.0,3.0,0.0,5.0,5.0,0.0,5.0,0.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0,1.0,4.0,4.0,1.0,5.0,0.0,5.0,0.0,0.0,5.0,1.0,4.0,3.0,2.0,3.0,2.0,1.0,4.0,0.0,5.0,3.0,2.0,2.0,3.0,0.0,5.0,1.0,4.0,1.0,4.0,2.0,3.0,4.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0,4.0,1.0
58,4.0,5.0,9.0,0.0,161.34296592572147,-0.4406704893556561,5.0,g5t4,5.0,4.0,1.0,4.0,0.0,5.0,1.0,4.0,2.0,3.0,1.0,4.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,4.0,1.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0,4.0,5.0,0.0,3.0,2.0,5.0,0.0,3.0,2.0,5.0,0.0,3.0,2.0,4.0,1.0,2.0,3.0,5.0,0.0,5.0,0.0,2.0,3.0,0.0,5.0,0.0,5.0,3.0,2.0,3.0,2.0,0.0,5.0,2.0,3.0,4.0,1.0,1.0,4.0,3.0,2.0,4.0,1.0,5.0,0.0,4.0,1.0,0.0,5.0,5.0,0.0,2.0,3.0,2.0,3.0
60,9.0,5.0,16.0,0.0,163.37209828403857,0.3536476525480899,3.0,g5t9,5.0,9.0,2.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,2.0,3.0,0.0,5.0,5.0,0.0,0.0,5.0,3.0,2.0,5.0,0.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,4.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,0.0,5.0,1.0,4.0,2.0,3.0,0.0,5.0,4.0,1.0,3.0,2.0,5.0,0.0,1.0,4.0,2.0,3.0,5.0,0.0,5.0,0.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,3.0
