,task,session,count,speaker,tama_mean,entrainment,best_lag,hitid,session,task,conversation_awkward,flow_naturally,hard_time_understanding_each_other,contributes_to_successful_completion,making_self_clear,engaged_in_game,planning_what_to_say,gives_encouragement,difficult_for_partner_to_speak,bored_with_game,dislikes_partner
52,12.0,4.0,10.0,1.0,4.485103193718302,-0.2203354437219535,1.0,g4t12,4.0,12.0,1.0,3.0,2.0,5.0,5.0,3.0,4.0,4.0,2.0,1.0,0.0
53,12.0,4.0,22.0,0.0,4.284276891557166,-0.13791003880559624,0.0,g4t12,4.0,12.0,1.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,1.0,2.0,1.0
54,13.0,4.0,16.0,1.0,4.152419202573182,0.4360680993176034,4.0,g4t13,4.0,13.0,0.0,5.0,1.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0
55,13.0,4.0,15.0,0.0,5.644361150920627,-0.49822028163171433,2.0,g4t13,4.0,13.0,0.0,5.0,1.0,5.0,5.0,5.0,4.0,3.0,1.0,0.0,1.0
56,3.0,5.0,9.0,1.0,4.816468300885072,0.38165169241374547,0.0,g5t3,5.0,3.0,3.0,2.0,0.0,5.0,4.0,5.0,4.0,3.0,0.0,0.0,1.0
57,3.0,5.0,8.0,0.0,4.834086107964475,0.7132900673292807,4.0,g5t3,5.0,3.0,3.0,2.0,0.0,3.0,2.0,5.0,1.0,3.0,0.0,2.0,0.0
58,4.0,5.0,9.0,1.0,4.472179183144269,0.5878340420817639,3.0,g5t4,5.0,4.0,2.0,4.0,1.0,4.0,3.0,3.0,2.0,3.0,0.0,2.0,0.0
59,4.0,5.0,8.0,0.0,4.295528140429391,-0.46587457638985563,1.0,g5t4,5.0,4.0,2.0,4.0,1.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,2.0
60,9.0,5.0,16.0,1.0,3.9292040479643022,-0.39141628253564387,3.0,g5t9,5.0,9.0,4.0,3.0,5.0,5.0,4.0,4.0,2.0,2.0,0.0,1.0,1.0
61,9.0,5.0,13.0,0.0,4.389440452205305,0.3752543695024252,4.0,g5t9,5.0,9.0,4.0,3.0,5.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0
62,11.0,5.0,8.0,1.0,4.502950333058211,-0.25590966428271666,2.0,g5t11,5.0,11.0,0.0,5.0,1.0,5.0,4.0,5.0,1.0,4.0,1.0,1.0,1.0
63,11.0,5.0,7.0,0.0,4.6987787702069514,0.6688801868102401,2.0,g5t11,5.0,11.0,0.0,5.0,1.0,5.0,4.0,5.0,4.0,5.0,1.0,0.0,0.0
64,13.0,5.0,14.0,1.0,4.65195897702059,0.43214420004299836,4.0,g5t13,5.0,13.0,4.0,2.0,1.0,4.0,3.0,3.0,2.0,3.0,0.0,1.0,0.0
65,13.0,5.0,12.0,0.0,5.0577106917412875,0.3777644361353362,0.0,g5t13,5.0,13.0,4.0,2.0,1.0,4.0,4.0,5.0,4.0,2.0,2.0,2.0,0.0
66,14.0,5.0,6.0,1.0,5.019643838342484,0.6572821034282625,2.0,g5t14,5.0,14.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,3.0,1.0,1.0,0.0
67,14.0,5.0,12.0,0.0,4.085851775387904,0.23673294757048308,0.0,g5t14,5.0,14.0,2.0,2.0,4.0,0.0,3.0,1.0,2.0,2.0,0.0,3.0,0.0
68,3.0,6.0,8.0,1.0,3.393542968607852,-0.5251518617830698,2.0,g6t3,6.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,4.0,1.0
69,3.0,6.0,5.0,0.0,3.9398836788742906,-0.13300403907549813,2.0,g6t3,6.0,3.0,3.0,3.0,1.0,5.0,5.0,5.0,4.0,3.0,0.0,0.0,0.0
70,4.0,6.0,12.0,1.0,4.608629464792545,0.6532566436812149,2.0,g6t4,6.0,4.0,4.0,1.0,4.0,3.0,5.0,0.0,3.0,2.0,0.0,5.0,4.0
71,4.0,6.0,5.0,0.0,6.465795939480141,-0.5380592742819295,1.0,g6t4,6.0,4.0,4.0,1.0,4.0,2.0,3.0,4.0,1.0,4.0,0.0,1.0,1.0
72,5.0,6.0,7.0,1.0,4.485987569228715,0.40440083724610104,5.0,g6t5,6.0,5.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,0.0,1.0,1.0
73,5.0,6.0,15.0,0.0,3.62318600614921,0.1492764642797321,0.0,g6t5,6.0,5.0,2.0,1.0,2.0,5.0,5.0,5.0,2.0,5.0,0.0,1.0,0.0
74,6.0,6.0,12.0,1.0,5.464556564676991,0.7293537378089369,3.0,g6t6,6.0,6.0,4.0,0.0,1.0,3.0,1.0,4.0,2.0,3.0,1.0,1.0,0.0
75,6.0,6.0,17.0,0.0,4.012659533747582,0.3184053160225926,2.0,g6t6,6.0,6.0,4.0,0.0,1.0,5.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0
76,7.0,6.0,8.0,1.0,5.2868462728386145,-0.638652479227033,1.0,g6t7,6.0,7.0,1.0,4.0,0.0,4.0,4.0,5.0,3.0,4.0,1.0,2.0,0.0
77,7.0,6.0,9.0,0.0,4.915563734286022,0.6198506715467199,1.0,g6t7,6.0,7.0,1.0,4.0,0.0,5.0,4.0,4.0,3.0,5.0,0.0,1.0,0.0
78,8.0,6.0,14.0,1.0,4.93456891476102,-0.3160229728392633,2.0,g6t8,6.0,8.0,5.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0,1.0
79,8.0,6.0,23.0,0.0,5.152191909636915,-0.38070232472745485,4.0,g6t8,6.0,8.0,5.0,1.0,3.0,5.0,5.0,5.0,3.0,4.0,0.0,0.0,1.0
80,9.0,6.0,10.0,1.0,3.548397728624931,-0.25546939043255507,1.0,g6t9,6.0,9.0,2.0,3.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,4.0,2.0
81,9.0,6.0,6.0,0.0,4.893992624054035,-0.27805240613943877,4.0,g6t9,6.0,9.0,2.0,3.0,0.0,4.0,4.0,5.0,4.0,3.0,0.0,1.0,1.0
82,10.0,6.0,9.0,1.0,4.487857199896078,0.3401160991036554,1.0,g6t10,6.0,10.0,1.0,4.0,1.0,4.0,4.0,5.0,2.0,4.0,0.0,0.0,0.0
83,10.0,6.0,15.0,0.0,4.997350579158771,-0.5494642432797532,3.0,g6t10,6.0,10.0,1.0,4.0,1.0,5.0,5.0,5.0,4.0,4.0,1.0,0.0,0.0
84,12.0,6.0,10.0,1.0,7.13788663491921,0.36287243253557494,6.0,g6t12,6.0,12.0,2.0,3.0,0.0,5.0,5.0,5.0,4.0,5.0,1.0,0.0,0.0
85,12.0,6.0,16.0,0.0,3.980987251353433,-0.2643564566517354,5.0,g6t12,6.0,12.0,2.0,3.0,0.0,4.0,5.0,3.0,2.0,5.0,1.0,2.0,1.0
86,3.0,7.0,8.0,1.0,4.10787588244382,-0.7246496514837374,2.0,g7t3,7.0,3.0,2.0,3.0,1.0,5.0,5.0,4.0,4.0,3.0,0.0,2.0,1.0
87,3.0,7.0,7.0,0.0,4.815396526605106,0.2932149788768475,3.0,g7t3,7.0,3.0,2.0,3.0,1.0,4.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0
88,4.0,7.0,10.0,1.0,4.3566434721493845,0.7394847305674935,0.0,g7t4,7.0,4.0,1.0,4.0,3.0,5.0,5.0,5.0,3.0,2.0,0.0,0.0,1.0
89,4.0,7.0,10.0,0.0,5.11556968811036,0.7394847305674935,0.0,g7t4,7.0,4.0,1.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,1.0,0.0,0.0
90,5.0,7.0,18.0,1.0,4.584851381832127,-0.41956241711728937,6.0,g7t5,7.0,5.0,5.0,2.0,5.0,3.0,2.0,4.0,3.0,2.0,3.0,0.0,3.0
91,5.0,7.0,18.0,0.0,4.520729745649076,0.2120795840050246,4.0,g7t5,7.0,5.0,5.0,2.0,5.0,2.0,1.0,4.0,0.0,1.0,2.0,0.0,0.0
92,6.0,7.0,5.0,1.0,4.736124831620921,0.38447758009807037,0.0,g7t6,7.0,6.0,0.0,5.0,0.0,5.0,5.0,5.0,4.0,4.0,1.0,0.0,0.0
93,6.0,7.0,6.0,0.0,4.125905917337282,0.637937148730002,1.0,g7t6,7.0,6.0,0.0,5.0,0.0,5.0,5.0,5.0,2.0,5.0,1.0,0.0,0.0
94,8.0,7.0,7.0,1.0,4.503189123897674,-0.5909918486406572,3.0,g7t8,7.0,8.0,2.0,3.0,2.0,5.0,4.0,5.0,4.0,5.0,0.0,1.0,1.0
95,8.0,7.0,7.0,0.0,3.9261651036081813,-0.5119087092385729,1.0,g7t8,7.0,8.0,2.0,3.0,2.0,5.0,3.0,5.0,3.0,5.0,1.0,1.0,0.0
96,9.0,7.0,13.0,1.0,4.247295790173467,0.38681715674870853,3.0,g7t9,7.0,9.0,2.0,3.0,5.0,4.0,4.0,4.0,2.0,4.0,1.0,2.0,1.0
97,9.0,7.0,12.0,0.0,5.130120781969842,-0.45337910558167804,1.0,g7t9,7.0,9.0,2.0,3.0,5.0,2.0,0.0,4.0,0.0,4.0,2.0,0.0,0.0
98,10.0,7.0,8.0,1.0,4.323844796540162,0.8857951308374229,1.0,g7t10,7.0,10.0,1.0,4.0,1.0,5.0,4.0,5.0,3.0,4.0,0.0,0.0,1.0
99,10.0,7.0,8.0,0.0,4.580300447843044,-0.43872841098395055,3.0,g7t10,7.0,10.0,1.0,4.0,1.0,5.0,4.0,5.0,3.0,5.0,2.0,0.0,0.0
100,11.0,7.0,7.0,1.0,4.092521276127889,-0.2808687364987551,0.0,g7t11,7.0,11.0,0.0,5.0,2.0,5.0,5.0,5.0,4.0,3.0,0.0,0.0,0.0
101,11.0,7.0,5.0,0.0,4.522920464820579,-0.4361075442506426,1.0,g7t11,7.0,11.0,0.0,5.0,2.0,5.0,4.0,5.0,3.0,3.0,1.0,0.0,0.0
102,12.0,7.0,9.0,1.0,4.767142394158887,0.6372201621633348,0.0,g7t12,7.0,12.0,0.0,5.0,1.0,5.0,5.0,5.0,3.0,4.0,2.0,1.0,0.0
103,12.0,7.0,9.0,0.0,4.493542470899881,0.6372201621633348,0.0,g7t12,7.0,12.0,0.0,5.0,1.0,5.0,5.0,5.0,2.0,5.0,1.0,0.0,0.0
104,14.0,7.0,6.0,1.0,4.43570087712532,0.49907403055009636,1.0,g7t14,7.0,14.0,1.0,4.0,0.0,4.0,5.0,5.0,4.0,5.0,1.0,0.0,0.0
105,14.0,7.0,6.0,0.0,4.024634658920283,-0.6318185152940832,1.0,g7t14,7.0,14.0,1.0,4.0,0.0,5.0,5.0,5.0,3.0,5.0,1.0,0.0,0.0
106,3.0,8.0,6.0,1.0,4.704997644510728,0.6535448889308997,2.0,g8t3,8.0,3.0,1.0,4.0,2.0,5.0,5.0,4.0,3.0,3.0,0.0,0.0,0.0
107,3.0,8.0,5.0,0.0,5.345928188487859,0.12202809885285335,1.0,g8t3,8.0,3.0,1.0,4.0,2.0,5.0,3.0,5.0,4.0,4.0,2.0,0.0,1.0
108,5.0,8.0,9.0,1.0,5.427270058491158,-0.5740137018147359,0.0,g8t5,8.0,5.0,2.0,4.0,1.0,5.0,5.0,5.0,4.0,4.0,0.0,0.0,0.0
109,5.0,8.0,11.0,0.0,4.703234650614895,-0.5740137018147359,0.0,g8t5,8.0,5.0,2.0,4.0,1.0,2.0,3.0,3.0,2.0,4.0,2.0,1.0,0.0
110,6.0,8.0,7.0,1.0,4.525550266842493,0.6337507513593272,0.0,g8t6,8.0,6.0,1.0,5.0,0.0,4.0,3.0,5.0,2.0,2.0,3.0,1.0,0.0
111,6.0,8.0,7.0,0.0,5.057678704553908,0.6337507513593272,0.0,g8t6,8.0,6.0,1.0,5.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,2.0,0.0
112,7.0,8.0,10.0,1.0,5.245428770224501,0.4809400710630844,1.0,g8t7,8.0,7.0,2.0,3.0,3.0,5.0,4.0,5.0,3.0,5.0,0.0,0.0,0.0
113,7.0,8.0,10.0,0.0,4.658925806535926,0.49996440246847473,3.0,g8t7,8.0,7.0,2.0,3.0,3.0,3.0,3.0,5.0,2.0,5.0,1.0,0.0,0.0
114,8.0,8.0,6.0,1.0,4.703107182321387,0.8259613217490109,0.0,g8t8,8.0,8.0,2.0,2.0,1.0,4.0,4.0,5.0,3.0,3.0,2.0,0.0,0.0
115,8.0,8.0,6.0,0.0,3.849964545719737,0.8259613217490109,0.0,g8t8,8.0,8.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0
116,10.0,8.0,7.0,1.0,4.81459853680733,-0.40804047203206173,1.0,g8t10,8.0,10.0,4.0,0.0,2.0,5.0,5.0,5.0,3.0,5.0,1.0,0.0,0.0
117,10.0,8.0,9.0,0.0,5.041501043472149,0.7127775682102578,1.0,g8t10,8.0,10.0,4.0,0.0,2.0,4.0,5.0,4.0,2.0,4.0,0.0,0.0,0.0
118,12.0,8.0,5.0,1.0,4.5828095447017025,0.06070696811600127,0.0,g8t12,8.0,12.0,2.0,3.0,2.0,5.0,4.0,5.0,2.0,5.0,1.0,0.0,1.0
119,12.0,8.0,7.0,0.0,4.987148515801097,-0.7944106968780116,2.0,g8t12,8.0,12.0,2.0,3.0,2.0,5.0,5.0,5.0,3.0,5.0,1.0,0.0,0.0
120,13.0,8.0,9.0,1.0,4.8017708167576325,0.5428788139774777,1.0,g8t13,8.0,13.0,3.0,1.0,3.0,4.0,4.0,4.0,2.0,4.0,1.0,0.0,0.0
121,13.0,8.0,10.0,0.0,5.435367421656367,-0.5178099339706178,1.0,g8t13,8.0,13.0,3.0,1.0,3.0,5.0,3.0,4.0,2.0,2.0,1.0,0.0,1.0
